序号,动画,看完时间,第二次看完,状态,状态
1,CLANNAD,2021,,1,在看
2,小城日常,,,2,已看
3,地缚少年花子君 第二季,,,3,未看
4,凸变英雄X,,,3,未看
5,怪兽8号 第二季,,,3,未看
6,魔法少女小圆,2022,,2,已看
7,凡人修仙传,,,1,在看
8,明日方舟：焰烬曙明 中配版,,,,
9,百妖谱·洛阳篇,,,,
10,胆大党 第二季,,,,
11,Ｄｒ．ＳＴＯＮＥ 石纪元 (第四季),,,,
12,通灵妃 第二季,,,3,未看
13,盾之勇者成名录 第四季,,,3,未看
14,君有云 第二季,,,3,未看
15,碧蓝之海 第二季,,,3,未看
16,光死去的夏天,,,3,未看
17,名侦探柯南（中配）,,,1,在看
18,灵笼 第二季,,,1,在看
19,素描簿,2025/4/,,2,已看
20,某科学的超电磁炮T,,2025,2,已看
21,日常,2023,,2,已看
22,通灵妃,2022,,2,已看
23,轻音少女 第一季,2021,2025/8/16,2,已看
24,佐贺偶像是传奇 卷土重来,2022,,2,已看
25,苍兰诀,,,2,已看
26,时光代理人 第三季,2025,,2,已看
27,她不当女主很多年,2025,,2,已看
28,伪恋：,,,2,已看
29,赛马娘 芦毛灰姑娘,,,,
30,尸兄,2018,,2,已看
31,地下城与勇士之破界少女,Jul-25,,2,已看
32,那年那兔那些事儿 第七季,,,1,在看
33,青之驱魔师 终夜篇,Jul-25,,2,已看
34,鲲吞天下之掌门归来,Jul-25,,2,已看
35,少年歌行 血染天启篇,Jul-25,,2,已看
36,U探泰拉 中配版,,,,
37,请问您今天要来点兔子吗？BLOOM,2025/6/,,2,已看
38,猫咪日常,2025/,,2,已看
39,打了300年的史莱姆，不知不觉就练到了满级 第二季,,,3,未看
40,胆大党 中配版,,,3,未看
41,小市民系列,2025/,,2,已看
42,斩首循环 蓝色学者与戏言跟班,,,,
43,纳米核心 第三季（下篇）,20,,2,已看
44,勇者大冒险之黄泉手记,,,2,已看
45,降灵记,2017,,2,已看
46,纳米核心 第三季,2017,,2,已看
47,那年那兔那些事儿 番外篇,,,2,已看
48,凸变英雄 BABA,2017,,2,已看
49,热诚传说X,2017,,2,已看
50,四月是你的谎言 粤配版,,,1,在看
51,琴浦小姐,2025/4/,,2,已看
52,堀与宫村 中配版,,,2,已看
53,Little Busters! ～Refrain～,,,2,已看
54,纳米核心 精简版,,,2,已看
55,那年那兔那些事儿 第五季,,,2,已看
56,终将成为你,,,2,已看
57,狐妖小红娘,,,2,已看
58,重神机潘多拉（中配）,2018/,,2,已看
59,纳米学院,,,2,已看
60,凸变英雄 LEAF,2018,,2,已看
61,海岸线不污正业sp,2017,,2,已看
62,那年那兔那些事儿 第一季,2017,,2,已看
63,青之驱魔师 雪之尽头篇,2025/5/,,2,已看
64,镇魂街 第四季,2025/5/,,2,已看
65,前进吧！登山少女 第二季,2025/4/,,2,已看
66,中国古诗词动漫,201,,2,已看
67,城下町的蒲公英,2025,,2,已看
68,我独自升级 第二季 -起于暗影-,2025/4/,,2,已看
69,火凤燎原 第二季,2025/4/,,2,已看
70,邪神与厨二病少女,202,,2,已看
